n_clusters,kmeans_silhouette,agglomerative_silhouette,kmeans_inertia
2,0.17934223986573053,0.13099998900919232,28001.265582655826
3,0.19196315891542604,0.15461875466472086,24712.051470588234
4,0.2156678234138088,0.18066547803568667,21752.882177033494
5,0.20967648991800886,0.16360265771911373,19521.501646903824
6,0.16915484198862063,0.18316142138442243,18388.114649239647
7,0.2028546176834084,0.20357004227446748,16992.275
8,0.20611336996877683,0.19979176837646787,16319.751587301587
9,0.1505134219834433,0.1589117717179238,15503.255790043291
10,0.15229362168471022,0.1690849945085737,14861.755627705628
